0x80008bf8   19 480          sym.xsh_testsuite
0x80003988    3 56           sym.putc
0x80005ebc    3 92           sym.mailboxInit
0x8000b72c    3 32           sym.spin
0x80011f44    5 52           sym.strcmp
0x80011904    4 64           sym.fgetc
0x80011e2c    1 96           sym.sprintf
0x80001784    2 448          sym.exception
0x800022d0    6 84           sym.getfirst
0x8000b318    1 48           sym.test_netif
0x80003650    3 152          sym.receive
0x80010d78   24 952          sym.test_semaphore2
0x80011a44    4 76           sym.fputc
0x80004464    8 108          sym.loopbackControl
0x800026c0   13 220          sym.insertd
0x800031c8   16 348          sym.bfpalloc
0x800025f0    6 208          sym.clkhandler
0x80001b5c    6 132          sym.enqueue
0x80003d78    5 216          sym.tarListFiles
0x8000b6fc    1 48           sym.test_ip
0x8000b3a8   21 852          sym.test_system
0x80001be0   10 184          sym.dequeue
0x80005770    1 52           sym.kprintf
0x80004edc    1 212          sym.uartHwStat
0x80004ce0    2 60           sym.uartControl
0x8000340c    5 168          sym.bufget
0x8000533c    3 64           sym.uartPutc
0x8000c2fc   41 2240         sym.test_ttydriver
0x80011308    1 16           sym.atoi
0x80005c7c   11 384          sym.mailboxAlloc
0x8000a76c    4 96           sym.test_semWaiter
0x8000b378    1 48           sym.test_nvram
0x80006728   38 548          sym.lexan
0x8000694c    7 308          sym.xsh_clear
0x800023e8    9 180          sym.insert
0x80008dfc    3 36           sym.testFail
0x80004e14    3 60           sym.uartGetc
0x8000ef14   16 916          sym.test_recursion
0x80012284  123 1576         sym._doscan
0x8000cd9c    1 48           sym.test_raw
0x800044d0    1 40           sym.loopbackInit
0x80011ff8    4 36           sym.strlen
0x80002020    6 160          sym.ready
0x800038f0    4 88           sym.open
0x80001644    8 112          sym.setupStack
0x800087f4    1 124          sym.tarHelp
0x8000a974   30 1004         sym.test_semaphore
0x800112f8    1 16           sym.abs
0x80011f18    5 44           sym.strchr
0x80011a90    5 96           sym.fputs
0x8000fe8c   13 688          sym.test_schedule
0x80003860    3 48           sym.close
0x8001013c   82 3132         sym.test_libString
0x80005f18    7 240          sym.mailboxReceive
0x8001225c    3 40           sym.free
0x80008f38   54 1612         sym.test_mailbox
0x80001010   13 288          loc.flushcache
0x800011e0    2 36           loc.copyhandler
0x80001204    2 28           loc.memzero
